-1188,-688,15536,-2720,-394,3902
-1156,-640,15640,-2704,-524,270
-1528,-552,15608,-2720,-510,-174
-1204,-532,15764,-2704,-463,25
-1464,-632,15640,-2720,-479,-58
-1636,-616,15596,-2704,-450,377
-1368,-604,15604,-2720,-507,-322
-1136,-592,15540,-2704,-493,149
-1196,-636,15636,-2720,-473,12
-1244,-604,15776,-2704,-466,11
-1424,-604,15552,-2688,-473,276
-1284,-616,15660,-2704,-496,-279
-1348,-520,15660,-2688,-497,-101
-1392,-580,15760,-2704,-458,112
-1172,-676,15616,-2720,-502,141
-1388,-544,15588,-2688,-464,-296
-1080,-656,15524,-2672,-477,-119
-1252,-608,15608,-2688,-481,-139
-1672,-536,15456,-2704,-313,-2090
-788,-556,15812,-2720,-463,117
-992,-592,15780,-2704,-518,105
-528,-640,15576,-2688,-548,685
-1004,-572,15568,-2672,-500,758
-1020,-524,15712,-2704,-443,-7
-1296,-540,15636,-2688,-506,-98
-992,-580,15768,-2720,-493,-74
-1004,-536,15708,-2688,-467,-104
-1144,-564,15784,-2672,-495,79
-1060,-656,15796,-2688,-484,-72
-968,-596,15568,-2736,-471,44
-940,-596,15664,-2672,-461,89
-868,-692,15592,-2704,-518,-158
-1100,-372,15716,-2688,-481,-124
-768,-696,15452,-2672,-445,1
-936,-636,15844,-2704,-505,-182
-1120,-684,15644,-2720,-493,19
-956,-592,15648,-2704,-489,14
-936,-608,15644,-2704,-445,-86
-976,-516,15636,-2688,-500,-69
-1024,-532,15716,-2704,-474,-23
-932,-632,15760,-2704,-465,-39
-1028,-588,15824,-2688,-478,-12
-1016,-640,15700,-2704,-492,-57
-1040,-532,15700,-2704,-505,-17
-944,-724,15664,-2736,-484,-125
-996,-600,15660,-2720,-466,39
-960,-664,15676,-2720,-466,23
-908,-556,15768,-2688,-471,1
-868,-668,15556,-2656,-474,53
-876,-516,15820,-2704,-475,86
-1028,-604,15652,-2704,-487,3
-988,-568,15612,-2688,-499,-66
-1044,-600,15744,-2688,-479,-22
-968,-564,15788,-2704,-484,-27
-1032,-600,15664,-2672,-491,44
-984,-508,15744,-2688,-477,-32
-924,-616,15720,-2704,-485,-80
-1040,-568,15648,-2736,-475,-107
-836,-544,15668,-2704,-492,6
-880,-536,15644,-2672,-484,21
-940,-648,15668,-2704,-491,-43
-980,-480,15608,-2656,-485,-22
-880,-556,15668,-2688,-485,-47
-900,-620,15672,-2672,-499,-52
-928,-576,15688,-2704,-480,25
-916,-544,15708,-2736,-469,11
-892,-628,15768,-2688,-474,-20
-1008,-520,15576,-2704,-493,27
-976,-640,15548,-2672,-492,-20
-948,-576,15800,-2720,-481,-9
-856,-656,15572,-2688,-489,11
-992,-588,15636,-2720,-459,47
-944,-560,15764,-2704,-487,25
-884,-592,15740,-2704,-477,10
-848,-556,15672,-2704,-463,8
-928,-608,15760,-2704,-491,51
-924,-584,15756,-2688,-492,21
-1076,-584,15684,-2720,-486,1
-1000,-648,15752,-2672,-486,14
-892,-552,15628,-2688,-498,18
-888,-624,15764,-2688,-484,2
-952,-532,15716,-2656,-471,-17
-924,-592,15696,-2704,-501,-100
-1068,-668,15776,-2688,-466,-13
-900,-612,15736,-2704,-423,264
-848,-616,15568,-2720,-467,-124
-880,-676,15692,-2656,-468,6
-848,-636,15664,-2720,-472,-57
-932,-616,15796,-2704,-470,-34
-948,-620,15760,-2704,-495,-51
-948,-532,15684,-2720,-481,1
-896,-536,15720,-2704,-463,-122
-824,-676,15888,-2704,-472,4
-792,-672,15644,-2736,-482,11
-904,-624,15768,-2704,-493,21
-1036,-576,15652,-2672,-486,-99
-1100,-512,15680,-2720,-474,-19
-964,-680,15644,-2704,-447,-3
-956,-672,15760,-2704,-462,-213
-548,-784,15656,-2688,-395,-574
-892,-704,15508,-2688,-504,1438
-924,-564,15784,-2704,-493,-656
-1408,-336,15756,-2688,-517,594
-548,-588,15796,-2672,-521,85
-1124,-552,15648,-2688,-485,-222
-884,-632,15828,-2704,-514,-110
-1356,-516,15628,-2656,-433,-29
-1176,-600,15880,-2704,-474,178
-1036,-700,15612,-2688,-485,-6
-936,-660,15804,-2688,-439,337
-1268,-540,15596,-2672,-517,-414
-1024,-628,15564,-2688,-508,615
-1084,-492,15612,-2672,-491,-125
-1156,-592,15764,-2672,-505,-160
-1424,-572,15556,-2688,-447,-189
-1140,-592,15640,-2704,-511,-583
-1292,-516,15632,-2688,-499,-334
-1088,-608,15616,-2704,-448,594
-1384,-556,15660,-2688,-457,65
-804,-656,15684,-2672,-456,506
-1104,-600,15628,-2656,-506,-419
-1440,-592,15692,-2672,-494,-28
-948,-648,15700,-2688,-480,-28
-1440,-624,15804,-2672,-470,86
-1124,-616,15736,-2672,-475,-1
-1224,-536,15556,-2656,-466,-24
-1052,-652,15668,-2704,-477,-306
-1276,-572,15608,-2672,-448,-183
-1068,-624,15684,-2688,-426,-178
-1064,-716,15700,-2672,-447,-74
-1068,-564,15660,-2656,-484,-68
-1128,-704,15788,-2704,-518,-252
-1152,-632,15632,-2672,-479,16
-1276,-544,15660,-2704,-488,-147
-988,-624,15652,-2656,-487,-70
-1144,-612,15692,-2656,-488,123
-1128,-540,15660,-2720,-487,182
-1044,-564,15784,-2704,-514,-24
-1144,-632,15628,-2688,-482,222
-1052,-648,15596,-2704,-509,-7
-1104,-640,15716,-2704,-495,104
-1336,-572,15816,-2688,-503,-20
-1272,-652,15652,-2672,-475,-79
-1192,-616,15764,-2736,-463,152
-1172,-560,15708,-2672,-457,327
-1104,-556,15716,-2688,-496,-103
-1252,-628,15576,-2672,-478,-331
-1384,-580,15396,-2704,-472,-59
-1064,-588,15612,-2704,-480,152
-1136,-632,15780,-2704,-465,-34
-1060,-672,15672,-2688,-466,63
-900,-696,15744,-2672,-477,-81
-1012,-604,15768,-2672,-479,55
-772,-668,15764,-2688,-537,-1107
